Cycle: 5  NKG2A  32 nM_X	Cycle: 5  NKG2A  32 nM_Y	Fitted Cycle: 5  NKG2A  32 nM_X	Fitted Cycle: 5  NKG2A  32 nM_Y	Cycle: 6  NKG2A  16 nM_X	Cycle: 6  NKG2A  16 nM_Y	Fitted Cycle: 6  NKG2A  16 nM_X	Fitted Cycle: 6  NKG2A  16 nM_Y	Cycle: 7  NKG2A  8 nM_X	Cycle: 7  NKG2A  8 nM_Y	Fitted Cycle: 7  NKG2A  8 nM_X	Fitted Cycle: 7  NKG2A  8 nM_Y	Cycle: 8  NKG2A  4 nM_X	Cycle: 8  NKG2A  4 nM_Y	Fitted Cycle: 8  NKG2A  4 nM_X	Fitted Cycle: 8  NKG2A  4 nM_Y	Cycle: 9  NKG2A  2 nM_X	Cycle: 9  NKG2A  2 nM_Y	Fitted Cycle: 9  NKG2A  2 nM_X	Fitted Cycle: 9  NKG2A  2 nM_Y	Cycle: 10  NKG2A  8 nM_X	Cycle: 10  NKG2A  8 nM_Y	Fitted Cycle: 10  NKG2A  8 nM_X	Fitted Cycle: 10  NKG2A  8 nM_Y
-51.26	-0.0701904	-51.26	0	-51.26	0.0238037	-51.26	0	-51.26	-4.88281e-4	-51.26	0	-51.26	9.15527e-3	-51.26	0	-51.26	0.0268555	-51.26	0	-51.26	1.83105e-3	-51.26	0
-51.16	-0.0812581	-51.16	0	-51.16	0.0185954	-51.16	0	-51.16	-0.0103353	-51.16	0	-51.16	0.0137126	-51.16	0	-51.16	0.0157878	-51.16	0	-51.16	-3.37729e-3	-51.16	0
-51.06	-0.0727944	-51.06	0	-51.06	0.0165611	-51.06	0	-51.06	-0.014811	-51.06	0	-51.06	0.0124105	-51.06	0	-51.06	0.0242515	-51.06	0	-51.06	7.03937e-3	-51.06	0
-50.96	-0.0734456	-50.96	0	-50.96	0.0146891	-50.96	0	-50.96	-9.60287e-3	-50.96	0	-50.96	0.0117594	-50.96	0	-50.96	0.0236003	-50.96	0	-50.96	6.38834e-3	-50.96	0
-50.86	-0.0740968	-50.86	0	-50.86	0.014038	-50.86	0	-50.86	-4.88371e-4	-50.86	0	-50.86	0.0111083	-50.86	0	-50.86	0.0229491	-50.86	0	-50.86	9.64347e-3	-50.86	0
-50.76	-0.0701904	-50.76	0	-50.76	8.17871e-3	-50.76	0	-50.76	-6.34766e-3	-50.76	0	-50.76	0.0150146	-50.76	0	-50.76	0.0288086	-50.76	0	-50.76	0.0155029	-50.76	0
-50.66	-0.0682373	-50.66	0	-50.66	0.0159912	-50.66	0	-50.66	-4.39453e-3	-50.66	0	-50.66	0.0169678	-50.66	0	-50.66	0.0268555	-50.66	0	-50.66	0.0115967	-50.66	0
-50.56	-0.066691	-50.56	0	-50.56	0.0116781	-50.56	0	-50.56	4.96423e-3	-50.56	0	-50.56	0.0138753	-50.56	0	-50.56	0.0225424	-50.56	0	-50.56	0.0229085	-50.56	0
-50.46	-0.0688884	-50.46	0	-50.46	9.48077e-3	-50.46	0	-50.46	8.13782e-4	-50.46	0	-50.46	0.0182698	-50.46	0	-50.46	0.0242513	-50.46	0	-50.46	0.0207112	-50.46	0
-50.36	-0.0643309	-50.36	0	-50.36	4.27258e-3	-50.36	0	-50.36	-2.44129e-3	-50.36	0	-50.36	0.0189209	-50.36	0	-50.36	0.0249025	-50.36	0	-50.36	0.0115967	-50.36	0
-50.26	-0.0663656	-50.26	0	-50.26	6.87662e-3	-50.26	0	-50.26	1.6275e-4	-50.26	0	-50.26	0.0176188	-50.26	0	-50.26	0.0236003	-50.26	0	-50.26	8.34146e-3	-50.26	0
-50.16	-0.0734456	-50.16	0	-50.16	2.97037e-3	-50.16	0	-50.16	-9.60287e-3	-50.16	0	-50.16	0.0117594	-50.16	0	-50.16	0.0275065	-50.16	0	-50.16	8.34146e-3	-50.16	0
-50.06	-0.0753987	-50.06	0	-50.06	-4.84204e-3	-50.06	0	-50.06	-0.013509	-50.06	0	-50.06	9.80628e-3	-50.06	0	-50.06	0.0216472	-50.06	0	-50.06	2.48206e-3	-50.06	0
-49.96	-0.0760498	-49.96	0	-49.96	8.17871e-3	-49.96	0	-49.96	-8.30078e-3	-49.96	0	-49.96	0.0130615	-49.96	0	-49.96	0.0151367	-49.96	0	-49.96	-1.2207e-4	-49.96	0
-49.86	-0.080607	-49.86	0	-49.86	5.57464e-3	-49.86	0	-49.86	-0.012858	-49.86	0	-49.86	0.0143636	-49.86	0	-49.86	0.0203452	-49.86	0	-49.86	-2.72629e-3	-49.86	0
-49.76	-0.0767009	-49.76	0	-49.76	3.6214e-3	-49.76	0	-49.76	-0.0128581	-49.76	0	-49.76	0.0143636	-49.76	0	-49.76	0.0196126	-49.76	0	-49.76	-4.67938e-3	-49.76	0
